PALABRA,TEMATICA - HOMOLOGACION,TEMATICA - PQR,SUBTEMATICA - SEGUIMIENTO RESPUESTA ,SUBTEMATICA - EQUIPO BLOQUEADO,SUBTEMATICA - OTROS,SUBTEMATICA - IMPOSIBILIDAD OBTENER REQUISITOS,SUBTEMATICA - PROBLEMAS DE REGISTRO,SUBTEMATICA - REALIZAR EL TRAMITE HOMOLOGACION,SUBTEMATICA - PETICION POR FORMULARIO,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR AUTORIZADO,SUBTEMATICA - CONSULTA DE PERTINENCIA,SUBTEMATICA - EQUIPO NO HOMOLOGABLE VENDIDO POR COMERCIO COLOMBIANO,SUBTEMATICA - CORRECION CARTA DE HOMOLOGACION,SUBTEMATICA - COMPLEMENTACION POSTULACION,SUB-SUBTEMATICA - NO APLICA
10000-1277929,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
maría,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
otorgado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
magnitud,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
sentencia,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
podían,1,2,0,0,1,0,0,0,2,0,0,0,0,0,3
mio,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2
amables,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
84,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
17-01-2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
acredita,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
véase,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
páginas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
comunicaciones,6,48,1,0,0,0,0,0,48,0,3,0,1,1,54
24-89,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
não,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
alguno,2,5,0,2,0,0,0,0,5,0,0,0,0,0,7
reinicio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
estatuto,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
hereby,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
caso,14,40,0,10,0,0,0,2,40,0,1,1,0,0,54
solo,12,11,0,10,1,0,0,0,11,0,1,0,0,0,23
solucionar,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
belén,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
comuna,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
radiodifusión,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
imposible,3,3,0,3,0,0,0,0,3,0,0,0,0,0,6
&,3,2,0,1,0,0,0,0,2,0,2,0,0,0,5
asignado,2,4,0,0,0,0,0,0,4,0,0,0,0,2,6
usa.solicito,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
tel,0,12,0,0,0,0,0,0,12,0,0,0,0,0,12
alcance,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
142,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
laboratorio,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
poste,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
traen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
autoridades,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
exclusivo,0,15,0,0,0,0,0,0,15,0,0,0,0,0,15
jairoanlo59,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
intentado,5,2,0,5,0,0,0,0,2,0,0,0,0,0,7
abusivo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
particular,1,10,1,0,0,0,0,0,10,0,0,0,0,0,11
cánselo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
página,19,15,2,13,2,0,1,0,15,0,1,0,0,0,34
averiguar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wordsection1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
correctamente,2,3,0,1,0,0,0,0,3,0,0,1,0,0,5
head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
lluvias,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
incluso,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
invalido,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
angelica,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
intente,4,1,0,4,0,0,0,0,1,0,0,0,0,0,5
main,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
ventas,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
reclamación,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
posición,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
parametros,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
fernandez,3,1,0,0,0,0,0,0,1,0,0,3,0,0,4
abogado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
quindío,1,3,0,1,0,0,0,0,3,0,0,0,0,0,4
delitos,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
deco,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
halla,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
report,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
traigan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
andrea,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
e-mail,7,14,0,1,0,0,0,0,14,4,2,0,0,0,21
exclusive,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
image002.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
semana.-,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
romero,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
guarden,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
resueltas,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
01901,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
podía,1,6,0,0,1,0,0,0,6,0,0,0,0,0,7
trabes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
liability,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
quinientos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
válidos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
rd,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
elige,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3198335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
sociedad,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
señalo,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
read,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
cableado,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
hong,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2016cp2158,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
comentan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
faltante,4,0,0,2,2,0,0,0,0,0,0,0,0,0,4
gentileza,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
conversación,1,5,0,1,0,0,0,0,5,0,0,0,0,0,6
autoridad,1,7,0,1,0,0,0,0,7,0,0,0,0,0,8
manera,7,27,0,5,1,0,0,0,27,1,0,0,0,0,34
delito,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
optica,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
quiroga,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
explicación,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
averigüé,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
unauthorized,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
deberes,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
actualicen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
hold,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
referida,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
108,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
no-,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
europeo,12,0,0,12,0,0,0,0,0,0,0,0,0,0,12
prácticamente,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
fuí,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
representative,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3.0cm,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
autorizado,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2
sydney,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
productor,0,18,0,0,0,0,0,0,18,0,0,0,0,0,18
pbro,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
culminar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
commission,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
homologar,47,0,1,35,3,3,0,4,0,0,1,0,0,0,47
354633080129042,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
use,3,11,0,0,0,0,0,0,11,0,3,0,0,0,14
ruiz,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
atiende,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
años,1,6,0,1,0,0,0,0,6,0,0,0,0,0,7
facturados,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
79,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
iphone,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
asus,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
coherente,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
canal,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
esperen,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
inviertan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cierto,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
diario,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
310-2393415,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
copropiedad,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
110.583,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
agente,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
relación,1,7,0,1,0,0,0,0,7,0,0,0,0,0,8
aportado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
simplemente,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
ortiz,0,16,0,0,0,0,0,0,16,0,0,0,0,0,16
preexistentes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
taipei,8,0,0,0,0,0,0,0,0,0,8,0,0,0,8
exagerados,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
entregaba,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
59,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6
contain,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
k5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
levanto,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
nunca,2,1,1,1,0,0,0,0,1,0,0,0,0,0,3
acepta,2,3,0,2,0,0,0,0,3,0,0,0,0,0,5
actualizarlas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cr,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
description,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8513900,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
págala,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
vuelve,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mostrar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
desearle,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
cordiales,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
fundadas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
definición,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
multitud,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
gigabit,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
presentamos,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
envía©,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
quién,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
procesos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
efectuarse,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
100,1,4,0,1,0,0,0,0,4,0,0,0,0,0,5
protocolo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
derecho,1,59,0,1,0,0,0,0,59,0,0,0,0,0,60
d.c,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
trata,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
rv,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
fácilmente,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
dejaron,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
which,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
obvio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
manos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
apto,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2
quiten,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
llamo,1,2,1,0,0,0,0,0,2,0,0,0,0,0,3
mensagem,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
lectura,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
solamente,1,3,0,1,0,0,0,0,3,0,0,0,0,0,4
teléfono.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
bernardo,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
adjustable,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
buenos,13,17,1,9,0,1,0,1,17,0,0,0,0,1,30
may,1,6,0,0,0,0,0,0,6,1,0,0,0,0,7
accurate,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
inserting,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
02-01-2.015,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
escribe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
poder,19,9,0,17,0,1,0,1,9,0,0,0,0,0,28
tramite,7,0,1,4,2,0,0,0,0,0,0,0,0,0,7
dada,3,3,0,2,1,0,0,0,3,0,0,0,0,0,6
leído,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
reproduction,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
faltaba,4,0,0,3,1,0,0,0,0,0,0,0,0,0,4
razón,6,11,0,6,0,0,0,0,11,0,0,0,0,0,17
w/kg,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
derivación,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
mientras,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
segovia,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
leon,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
quisera,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
colombiano,2,5,0,2,0,0,0,0,5,0,0,0,0,0,7
participación,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7
tantos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
applicable,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
procuraduria,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ocasiones,5,5,0,3,0,2,0,0,5,0,0,0,0,0,10
bloqueado,7,1,0,6,0,0,0,0,1,1,0,0,0,0,8
tapa,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2
interesados,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
investigacion,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
madre,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
sección,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
papel,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
marina,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
cord,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
informan,3,3,0,1,1,0,0,0,3,0,0,1,0,0,6
yahoo.es,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
permanencia,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10
3804,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
irlanda,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
h,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
disposición,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
8352,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
escuchándome,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
57-4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
500,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
revisando,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
exists,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
verykool,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
fcc:2afzz-rt3161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
similar,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
veo,4,1,0,3,1,0,0,0,1,0,0,0,0,0,5
virus,2,3,0,0,0,0,0,0,3,0,2,0,0,0,5
evitar,2,5,0,2,0,0,0,0,5,0,0,0,0,0,7
existan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
www.promedico.com.co,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
e.s.p.,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
adquirí­,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2
315305,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
inconformidades,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
promedico-nit-890310418-4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
fontibón,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
distintas,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4
escribo,3,1,1,2,0,0,0,0,1,0,0,0,0,0,4
posicionados,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
mencionados,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
julián,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
decirme,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
all,1,3,0,0,0,0,0,0,3,0,1,0,0,0,4
2016cp2902,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ambiental,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
dudas,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
felipe,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
prestación,0,13,0,0,0,0,0,0,13,0,0,0,0,0,13
recibo,5,23,1,1,0,0,0,0,23,0,1,0,1,1,28
a.,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
alcanzamos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
seguir,4,4,0,3,0,1,0,0,4,0,0,0,0,0,8
02-01-2.04,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
huawei,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2
veces,12,4,0,12,0,0,0,0,4,0,0,0,0,0,16
limita,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
suministrar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
septiembre,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
359979095078566,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
peticion,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2
2017545908,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
408,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
phone,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
obrar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3108090303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
amenazado,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ad,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
cabo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
homologado,30,0,3,23,0,0,3,1,0,0,0,0,0,0,30
financiados,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
seguridad_informatica,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
gran,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sanabria,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
interesante,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
eviten,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
incurrido,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
impongan,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
etb,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
reiniciar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
muebles,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
samuel,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8
hacerle,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
alta,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
ojeda,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pagina,6,1,0,6,0,0,0,0,1,0,0,0,0,0,7
construcciones,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
funciona.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
juan,0,16,0,0,0,0,0,0,16,0,0,0,0,0,16
técnicascartas,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ecc-id,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
dignidad,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
manifestación,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
oscar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
/telefónica,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
utilizan,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2
prestador,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
diferenciales,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
prestar,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2
oferta,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
país,15,5,1,11,0,0,0,0,5,1,2,0,0,0,20
original,4,2,0,3,0,0,0,1,2,0,0,0,0,0,6
ltd,1,2,0,0,0,0,0,0,2,0,0,0,1,0,3
have,1,19,0,0,0,0,0,0,19,1,0,0,0,0,20
8507,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
expresar,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
u.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
mayoría,1,2,0,1,0,0,0,0,2,0,0,0,0,0,3
